附件id,附件类型,附件名称,原文件名,最后修改时间,最后执行修改事务人id,附件路径,页码大小,数据导入类型，是否是本系统生成的数据 默认0 ,创建时间,是否是本地文件 0-否  1-是 ,地区编码,操作类型,uuid,是否是本地文件, 地区编码
FILE320500280355684602613760,.doc,（苏苏常）应急立〔2020〕4号.doc,,12/6/2024 19:21,USER3205278,/opt/data-new/tmp//3205/320581/2020/3/writ/FILE320500280355684602613760.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98bc1-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280355684615196672,.pdf,（苏苏常）应急立〔2020〕4号.pdf,,12/6/2024 19:21,USER3205278,/opt/data-new/file//3205/320581/2020/3/writ/FILE320500280355684615196672.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98bd1-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280356021422002176,.doc,（苏苏相）应急检查〔2020〕2号.doc,,12/6/2024 19:21,USER3205198,/opt/data-new/tmp//3205/320507/2020/3/writ/FILE320500280356021422002176.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98be7-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280356021434585088,.pdf,（苏苏相）应急检查〔2020〕2号.pdf,,12/6/2024 19:21,USER3205198,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280356021434585088.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98bf9-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280356472536174592,.doc,（苏苏相）应急检查〔2020〕2号.doc,,12/6/2024 19:21,USER3205198,/opt/data-new/tmp//3205/320507/2020/3/writ/FILE320500280356472536174592.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98c0a-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280356472548757504,.pdf,（苏苏相）应急检查〔2020〕2号.pdf,,12/6/2024 19:21,USER3205198,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280356472548757504.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98c1b-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280356914531930112,.doc,（苏苏相）应急检查〔2020〕2号.doc,,12/6/2024 19:21,USER3205198,/opt/data-new/tmp//3205/320507/2020/3/writ/FILE320500280356914531930112.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98c2c-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280356914544513024,.pdf,（苏苏相）应急检查〔2020〕2号.pdf,,12/6/2024 19:21,USER3205198,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280356914544513024.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98c3d-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357126533025792,.doc,（苏苏相）应急检查〔2020〕2号.doc,,12/6/2024 19:21,USER3205198,/opt/data-new/tmp//3205/320507/2020/3/writ/FILE320500280357126533025792.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98c50-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357126553997312,.pdf,（苏苏相）应急检查〔2020〕2号.pdf,,12/6/2024 19:21,USER3205198,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280357126553997312.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98c63-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357226848194560,.doc,（苏苏常）应急立〔2020〕2号.doc,,12/6/2024 19:21,USER3205281,/opt/data-new/tmp//3205/320581/2020/3/writ/FILE320500280357226848194560.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98c73-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357226860777472,.pdf,（苏苏常）应急立〔2020〕2号.pdf,,12/6/2024 19:21,USER3205281,/opt/data-new/file//3205/320581/2020/3/writ/FILE320500280357226860777472.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98c85-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357564812627968,.pdf,（苏苏相）应急检查〔2020〕2号.pdf,,12/6/2024 19:21,USER3205198,/opt/data-new/file//3205/320507/2020/3/writ/FILE320500280357564812627968.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c2de-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280357816101769216,.doc,（苏苏高）应急立〔2020〕2号.doc,,12/6/2024 19:21,USER3205071,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280357815749447680.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98ca7-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357816110157824,.pdf,（苏苏高）应急立〔2020〕2号.pdf,,12/6/2024 19:21,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280357815749447680.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98cb9-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357894501699584,.doc,（苏苏高）应急立〔2020〕2号.doc,,12/6/2024 19:21,USER3205071,/opt/data-new/tmp//3205/320505/2020/3/writ/FILE320500280357894501699584.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98cd7-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357894514282496,.pdf,（苏苏高）应急立〔2020〕2号.pdf,,12/6/2024 19:21,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280357894514282496.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98ce8-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357939615633408,.doc,（苏苏常）应急立〔2020〕4号.doc,,12/6/2024 19:22,USER3205278,/opt/data-new/tmp//3205/320581/2020/3/writ/FILE320500280357939615633408.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98cf8-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280357939628216320,.pdf,（苏苏常）应急立〔2020〕4号.pdf,,12/6/2024 19:22,USER3205278,/opt/data-new/file//3205/320581/2020/3/writ/FILE320500280357939628216320.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98d0b-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280358098856579072,.doc,（苏苏高）应急立〔2020〕2号.doc,,12/6/2024 19:22,USER3205071,/opt/data-new/tmp//3205/320505/2020/3/writ/FILE320500280358098856579072.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98d4f-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280358098864967680,.pdf,（苏苏高）应急立〔2020〕2号.pdf,,12/6/2024 19:22,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280358098864967680.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98d60-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280358172382728192,.pdf,（苏苏高）应急立〔2020〕2号.pdf,,12/6/2024 19:22,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280358172382728192.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c354-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280358475941285888,.doc,（苏苏高）应急立〔2020〕3号.doc,,12/6/2024 19:22,USER3205069,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280358475538632704.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98d82-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280358475949674496,.pdf,（苏苏高）应急立〔2020〕3号.pdf,,12/6/2024 19:22,USER3205069,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280358475538632704.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98d92-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280358902489419776,.doc,（苏苏高）应急立〔2020〕3号.doc,,12/6/2024 19:22,USER3205069,/opt/data-new/tmp//3205/320505/2020/3/writ/FILE320500280358902489419776.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98da5-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280358902506196992,.pdf,（苏苏高）应急立〔2020〕3号.pdf,,12/6/2024 19:22,USER3205069,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280358902506196992.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98db7-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359143229886464,.jpg,386202164.jpg,,12/6/2024 19:22,USER3205067,/opt/data-new/file//3205/320505/2020/3/other/386202164.jpg,1,320500,8/5/2020 21:59,1,320500,i,f42566d0-2c46-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359175001739264,.jpg,462169091.jpg,,12/6/2024 19:22,USER3205067,/opt/data-new/file//3205/320505/2020/3/other/462169091.jpg,1,320500,8/5/2020 21:59,1,320500,i,f42566e3-2c46-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359206643568640,.jpg,1496294328.jpg,,12/6/2024 19:22,USER3205067,/opt/data-new/file//3205/320505/2020/3/other/1496294328.jpg,1,320500,8/5/2020 21:59,1,320500,i,f42566f5-2c46-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359235542323200,.jpg,2020673647.jpg,,12/6/2024 19:22,USER3205067,/opt/data-new/file//3205/320505/2020/3/other/2020673647.jpg,1,320500,8/5/2020 21:59,1,320500,i,f425670a-2c46-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359493533962240,.doc,（苏苏常）应急立〔2020〕4号.doc,,12/6/2024 19:22,USER3205278,/opt/data-new/tmp//3205/320581/2020/3/writ/FILE320500280359493533962240.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98dec-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359493546545152,.pdf,（苏苏常）应急立〔2020〕4号.pdf,,12/6/2024 19:22,USER3205278,/opt/data-new/file//3205/320581/2020/3/writ/FILE320500280359493546545152.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98dfc-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359608147513344,.pdf,（苏苏常）应急立〔2020〕4号.pdf,,12/6/2024 19:22,USER3205278,/opt/data-new/file//3205/320581/2020/3/writ/FILE320500280359608147513344.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c397-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280359680172101632,.jpg,1124913531.jpg,,12/6/2024 19:22,USER3205067,/opt/data-new/file//3205/320505/2020/3/other/1124913531.jpg,1,320500,8/5/2020 21:59,1,320500,i,f4256756-2c46-11ec-b626-fa163e11a32f,,苏州市
FILE320500280359867577798656,.pdf,（苏苏常）应急立〔2020〕1号.pdf,,12/6/2024 19:22,USER3205284,/opt/data-new/file//3205/320581/2020/3/writ/FILE320500280359867577798656.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98e29-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280360196293791744,.doc,（苏苏高）应急立〔2020〕4号.doc,,12/6/2024 19:22,USER3205067,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280360195962441728.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98e39-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280360196302180352,.pdf,（苏苏高）应急立〔2020〕4号.pdf,,12/6/2024 19:22,USER3205067,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280360195962441728.pdf,1,320500,8/5/2020 21:59,1,320500,i,c9d98e4a-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280360376367845376,.doc,（苏苏高）应急确〔2020〕2号.doc,,12/6/2024 19:22,USER3205071,/opt/data-new/tmp//3205/320505/2020/3/writ/WS320500280360375155691520.doc,2,320500,8/5/2020 21:59,1,320500,i,c9d98e5a-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280360376376233984,.pdf,（苏苏高）应急确〔2020〕2号.pdf,,12/6/2024 19:22,USER3205071,/opt/data-new/file//3205/320505/2020/3/writ/WS320500280360375155691520.pdf,2,320500,8/5/2020 21:59,1,320500,i,c9d98e6b-2b7d-11ec-b626-fa163e11a32f,,苏州市
FILE320500280360679884460032,.pdf,（苏苏高）应急立〔2020〕3号.pdf,,12/6/2024 19:22,USER3205069,/opt/data-new/file//3205/320505/2020/3/writ/FILE320500280360679884460032.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c3d1-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280360712566476800,.pdf,（苏苏张）应急检查〔2020〕1号.pdf,,12/6/2024 19:22,USER3205327,/opt/data-new/file//3205/320582/2020/3/writ/WS320500280360712117686272.pdf,1,320500,8/5/2020 21:59,1,320500,i,b1d5c3e5-f220-11eb-bca6-fa163e11a32f,,苏州市
FILE320500280360839045713920,.doc,（苏苏高）应急立〔2020〕4号.doc,,12/6/2024 19:22,USER3205067,/opt/data-new/tmp//3205/320505/2020/3/writ/FILE320500280360839045713920.doc,1,320500,8/5/2020 21:59,1,320500,i,c9d98e9f-2b7d-11ec-b626-fa163e11a32f,,苏州市
