"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-16 18:31:37.000,"91310000771831160Y",青山洋服商业（上海）有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市长宁区哈密路1955号,C,"34","349","3499","2",,"20250217","1",制造业,通用设备制造业,其他通用设备制造业,其他未列明通用设备制造业,"320585501",高新区,E_4,"0","1",,,,,,江苏省苏州市太仓市娄东街道青岛东路218号,"121.124458","31.505463",,,"1",,,
2026-03-16 18:31:37.000,"9131010555009753XX",上海科捷物流有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",太仓市浮桥镇元江路8号,C,"41","419",,"2",,"20240305","0",制造业,其他制造业,其他未列明制造业,,"320585500",太仓港经济技术开发区,E_8,,,,,,,,江苏省苏州市太仓市浮桥镇元江路8号,"121.166341","31.617134",,,"2",,,
2026-03-16 18:31:37.000,"91310107MADD54CG8C",上海康泰丝纸业有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市普陀区云岭东路89号2、3、21、22层,C,"22","223","2239","2",,"20250107","0",制造业,造纸和纸制品业,纸制品制造,其他纸制品制造,"320585500",太仓港经济技术开发区,E_5,"0","1",,,,,,江苏省苏州市太仓市浮桥镇新浦路2号,"121.176426","31.59565",,,"1",,,
2026-03-16 18:31:37.000,"91310109055089428W",上海蓝羽玩具有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市虹口区纪念路500号1幢333室,C,"41","419",,"2",,"20240111","0",制造业,其他制造业,其他未列明制造业,,"320585501",高新区,E_8,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"91310112082090686W",上海祥裕实业有限公司,江苏省,"320000",苏州市,"320500",吴江区,"320509",上海市闵行区闵北路88弄1-30号第22幢AC117室,C,"19","195","1954","2",,"20250115","0",制造业,皮革、毛皮、羽毛及其制品和制鞋业,制鞋业,橡胶鞋制造,"320509107",汾湖高新区（黎里镇）,E_5,"0","1",,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"91310112MA1GBARG35",北德检测服务（苏州）有限公司,江苏省,"320000",苏州市,"320500",吴中区,"320506",苏州市吴中区越溪街道北官渡路50号3幢南楼东侧一楼E区,C,"34","349",,"2",,"20250520","0",制造业,通用设备制造业,其他通用设备制造业,,"320506006",越溪街道,E_4,,,,,,,,江苏省苏州市吴中区越溪街道北官渡路50号3幢,"120.549816","31.200151",,,"1",,,
2026-03-16 18:31:37.000,"91310112MA7B1XM726",联科熙和能源科技（苏州）有限公司,江苏省,"320000",苏州市,"320500",虎丘区,"320505",苏州市高新区松花江路590号2幢1楼,C,"41","419",,"2",,"20240430","0",制造业,其他制造业,其他未列明制造业,,"320505105",通安镇,E_8,,,,,,,,江苏省苏州市虎丘区通安镇松花江路590号2幢,"120.439284","31.369067",,,"1",,,
2026-03-16 18:31:37.000,"91310113084062902B",上海立富木制品制造有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市宝山区蕰川路1188弄55号-6,C,"20","203","2039","2",,"20250309","0",制造业,木材加工和木、竹、藤、棕、草制品业,木质制品制造,软木制品及其他木制品制造,"320585111",浏河镇,E_5,"0","1",,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"913101130886831245",上海卫峰精密机械有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",上海市宝山区顾陈路1118号C座246号,C,"38","389",,"2",,"20250304","0",制造业,电气机械和器材制造业,其他电气机械及器材制造,,"320585500",太仓港经济技术开发区,E_4,"0","1",,,,,,江苏省苏州市太仓市浮桥镇中兴街25号,"121.20469","31.60654",,,"1",,,
2026-03-16 18:31:37.000,"913101136316681701",上海宝寨木业有限公司,江苏省,"320000",苏州市,"320500",太仓市,"320585",,G,"59","594","5949","2",,"20240117","0",交通运输、仓储和邮政业,装卸搬运和仓储业,危险品仓储,其他危险品仓储,"320585500",太仓港经济技术开发区,O,,,,,,,,江苏省苏州市太仓市浮桥镇永辂路2号,"121.158441","31.644227",,,"1",,,
