"时间戳","管理类别名称","主要事故类别","风险点","备注","管理类别编码","主键ID","风险代码","风险名称","创建人","修改人","创建时间","修改时间","排序","删除标识"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,甲、乙类火灾危险性的生产装置、储存设施、包装场所；毒性气体或剧毒液体生产装置、储存设施、包装场所,,"02","202012301114062 ","0221",固定作业人数3人以上的具有火灾爆炸和中毒危险性的独栋厂房,,,,,221,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,一级动火区域；特殊动火区域,,"02","202012301114063 ","0222",易燃易爆场所动火作业,,,,,222,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,涉及反应器、塔、釜、槽、罐、炉膛、锅筒、管道以及地下室、窨井、坑(池)、下水道或其他封闭、半封闭场所的生产单元和储存单元,,"02","202012301114064 ","0223",受限空间作业,,,,,223,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸,硝化废料贮存仓库；硝化废料贮存场所,,"02","202012301114065 ","0224",涉及硝化废料储存,,,,,224,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,可燃气体装卸场所；易燃液体装卸场所；液化烃装卸场所；剧毒液体装卸场所；毒性气体装卸场所；厂内易燃易爆有毒危险化学品车辆停放场所,,"02","202012301114066 ","0225",易燃易爆有毒危险化学品装卸及实载运输车辆停放,,,,,225,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,输送易燃易爆、有毒危险化学品的厂际输送管道；跨越化工园区外公共场所的厂际输送管道,,"02","202012301114067 ","0226",厂际危险化学品输送管道,,,,,226,"0"
2026-03-11 19:06:55.000,（02）化工、医药,火灾、其他爆炸、中毒和窒息,在生产、加工、处理、转运或贮存过程中出现或可能出现可燃性粉尘与空气形成爆炸性粉尘混合物的场所,,"02","202012301114068 ","0227",涉及粉尘爆炸场所,,,,,227,"0"
2026-03-11 19:06:55.000,（02）化工、医药,其他,,,"02","202012301114069 ","0299",经企业辨识后确定为较大以上的其他风险,,,,,299,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,中毒和窒息、其他爆炸,《工贸企业有限空间重点监管目录》中列举和国家明确规定的有限空间，如：污水收集处理池（井、罐）、发酵腌制池（罐）、环保设备设施（除尘器舱室、活性炭箱）,,"1003","202012301114070 ","100301",有限空间作业,,,,,301,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,储氨罐、蒸发器、压缩机、冷凝器、节流阀、氨气管道等,,"1003","202012301114071 ","100302",液氨制冷系统氨泄漏,,,,,302,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,其他爆炸、火灾,涉及可燃性粉尘的场所或设备，如：封闭煤堆场、产尘车间爆炸危险区域、粉尘存放场所、集（除）尘系统、气力输送系统、料仓、提升机、粉碎机、散装集尘车,,"1003","202012301114072 ","100303",可燃性粉尘积聚,,,,,303,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,坍塌,公称直径≥30m或公称容积≥10000m3的储罐,,"1003","202012301114073 ","100304",污水罐等大型储罐破裂、泄漏,,,,,304,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,燃气储存、输送、使用设施，燃气调压站，液化气瓶，汇流排等,,"1003","202012301114074 ","100305",燃气储存、输送、使用设施燃气泄漏,,,,,305,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,起重伤害,起重设备，临水的码头吊、龙门吊，流动式起重机，行车、电动葫芦等吊装设备,,"1003","202012301114075 ","100306",起重吊装作业,,,,,306,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,锅炉爆炸、其他爆炸,中压及以上锅炉（P≥2.5MPa且T≥400℃）的炉体、管线,,"1003","202012301114076 ","100307",锅炉系统爆裂、泄漏,,,,,307,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,锅炉爆炸、火灾,导热油炉、闭式导热油循环管路、循环泵、模温机（使用导热油为载体）,,"1003","202012301114077 ","100308",导热油炉超压、漏油，导热油循环系统超压、漏油、积碳积焦,,,,,308,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,储存易燃、可燃物的仓库、堆场、储罐等场所，如：储存泡沫、纸箱、低燃点塑胶制品,,"1003","202012301114078 ","100309",储存场所易燃、可燃物料燃烧（非危险化学品）,,,,,309,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、中毒和窒息,使用、存放乙烯-乙酸乙烯共聚物（EVA）、聚氨基甲酸酯（PU）、可发性聚乙烯（EPE）、化学交联聚乙烯发泡材料（XPE）等可产生易燃挥发性气体发泡材料的生产场所,,"1003","202012301114079 ","100310",生产场所存放的发泡材料挥发易燃气体,,,,,310,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,储存危险化学品的仓库、中间仓库、堆场、储罐等场所，危废库,,"1003","202012301114080 ","100311",储存场所危险化学品泄漏,,,,,311,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、中毒和窒息,使用易燃、可燃等各类保温材料的厂房、仓库、冷库等,,"1003","202012301114081 ","100312",建（构）筑物保温材料燃烧,,,,,312,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,在直接或间接产生明火的工艺设施以外的禁火区内从事可能产生火焰、火花或炽热表面的非常规作业活动，如：使用电焊、气焊（割）、喷灯、电钻、砂轮机、喷砂机等进行的作业,,"1003","202012301114082 ","100313",动火作业,,,,,313,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,容器爆炸,储气罐（不含简单压力容器）,,"1003","202012301114083 ","100314",空压机储气罐超压,,,,,314,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,坍塌、高处坠落、物体打击,使用叉车、行车、人力等方式进行货物的物理移动，如：装车、卸车、堆码、堆垛、上架、拆垛、取货等作业活动,,"1003","202012301114084 ","100315",装卸作业,,,,,315,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,液氨储罐、储氨罐、液氨钢瓶、氨气管道、氨分解（楼）装置,,"1003","202012301114085 ","100316",氨分解系统氨泄漏,,,,,316,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,储存乙炔、氢、氧、氮、丙烷等气体的气瓶、储气罐、杜瓦罐、气瓶集束等设施及输送管线，储存氧、氮、氩以及二氧化碳等气体的固定式低温液体容器及输送管线,,"1003","202012301114086 ","100317",工业气体储存设施及其输送管线气体泄漏,,,,,317,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,灼烫,蒸汽管道（P≥1.6MPa）,,"1003","202012301114087 ","100318",蒸汽输送管道破裂,,,,,318,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,火灾、其他爆炸、中毒和窒息,有机废气处理装置，如：直燃式废气燃烧装置（TO）、催化燃烧装置（CO）、蓄热热力燃烧装置（RTO）、蓄热催化燃烧装置（RCO）、有机废气活性炭吸附装置,,"1003","202012301114088 ","100319",有机废气处理装置燃烧,,,,,319,"0"
2026-03-11 19:06:55.000,（1003）冶金等工贸行业通用,其他,,,"1003","202012301114089 ","100399",经企业辨识后确定为较大以上的其他风险,,,,,399,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、其他爆炸、中毒和窒息,烧结机、回转窑、球团竖炉燃烧器，煤气（燃气）管道及其附属设施（膨胀器、阀门、法兰、放散管、煤气排水器、水封等）,,"1004","202012301114090 ","100401",烧结球团过程煤气（燃气）泄漏,,,,,401,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、中毒和窒息,输送烧结矿、球团矿、干熄焦、石灰石等高温物料的皮带和通廊,,"1004","202012301114091 ","100402",高温物料的带式输送,,,,,402,"0"
2026-03-11 19:06:55.000,（1004）冶金,其他爆炸、中毒和窒息、火灾,炭化室、炉门、炉顶、换向室、地下室，煤气管道及其附属设施（膨胀器、阀门、法兰、放散管、煤气排水器、水封等）,,"1004","202012301114092 ","100403",炼焦过程煤气泄漏,,,,,403,"0"
2026-03-11 19:06:55.000,（1004）冶金,中毒和窒息,活塞及密封装置、柜前后（回流）煤气管道切断装置、氮气阀隔断装置,,"1004","202012301114122 ","100433",煤气柜柜内检修煤气、氮气倒灌,,,,,433,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、其他爆炸、中毒和窒息,冷凝、鼓风、电捕焦油、脱苯、硫铵、脱硫等装置，煤气管道及其附属设施（膨胀器、阀门、法兰、放散管、煤气排水器、水封等）,,"1004","202012301114093 ","100404",焦化化产回收过程煤气泄漏,,,,,404,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、其他爆炸,苯、焦油、硫酸、碱、洗油等物料的储存槽、中间罐、输送管道及阀门,,"1004","202012301114094 ","100405",焦化化产油库及生产现场的酸、碱、苯等物料泄漏,,,,,405,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、其他爆炸,高炉本体（炉缸、铁口、风口、炉皮、冷却壁及水管）,,"1004","202012301114095 ","100406",高炉本体的铁水、熔渣、红焦泄漏,,,,,406,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、其他爆炸,铁沟、渣沟、摆动溜槽、残铁坑、兑罐区,,"1004","202012301114096 ","100407",高炉附属设施的铁水、熔渣泄漏,,,,,407,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、其他爆炸,吊运铁水包的行车、铁水包、倾翻台、铸铁机机尾溜槽,,"1004","202012301114097 ","100408",铸铁机区域铁水泄漏,,,,,408,"0"
2026-03-11 19:06:55.000,（1004）冶金,火灾、其他爆炸,铁水包、鱼雷罐车、铁水运输车（包含汽车运输）,,"1004","202012301114098 ","100409",铁水运输过程中铁水泄漏,,,,,409,"0"
