"id","geom","ID","STREET","REGION","ADDRESS","HOUSE_NAME","COMMUNITY","图斑ID（3+1）","BUILDING_H","x","y"," 0：未关联，1：工业企业，2：小场所，3：机关事业单位，4：其他单位, 5：居民住宅","企业类型数量","其他单位数量","小场所数量","机关事业单位数量","居民房屋数量","街道编码","区域编码","社区编码","是否拆除:0否；1是","sync","企业最高风险等级：0-红色风险(A), 1-橙色风险(B), 2-黄色风险(C), 3-蓝色风险(D)","其他单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","商业场所最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","机关事业单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","居民住宅最高风险等级：0-红色风险(red), 1-橙色风险(orange), 2-黄色风险(yellow), 3-蓝色风险(green)","房屋类型(单选)（字典：building_type）:1：住宅:2：住宅+底商  3：非住宅","非住宅具体建筑用途（字典：building_purpose），多选，逗号分隔","标准地址id"
1628663,"MULTIPOLYGON (((120.69596707292214 31.684745469827647, 120.69596337490987 31.684723419350348, 120.6958419574404 31.684738306727525, 120.6958455349436 31.68475964494172, 120.69586165708984 31.684855790562324, 120.69598307635795 31.684840904983844, 120.69596797224415 31.684750826189713, 120.69596707292214 31.684745469827647)))",e36ae9a407ec2fe762dafa9b897b2629,虞山街道,常熟市,钱家宕4号,钱家宕4号房屋,虞山林场三峰管理社区,"3205810187495","11.5",120.695912517,31.6847896054,"",0,0,0,0,0,"320581004","320581","320581004401",,0,,,,,,"1","",
1226140,"MULTIPOLYGON (((121.18544828000006 31.524740910000048, 121.18547812000008 31.524781080000025, 121.18552768000006 31.524743410000042, 121.18549825000002 31.524703790000046, 121.18544828000006 31.524740910000048)))",e36cb07b41e95fd74ce7b30cfd3c9470,浏河镇,太仓市,浏河镇张桥村51组17号,浏河镇张桥村51组17号辅房4,张桥村委会,"3205850186119","3",121.185488025,31.5247423405,"",0,0,0,0,0,"320585111","320585","320585111218",,1,,,,,,"3","35",
737782,"MULTIPOLYGON (((120.81090666361172 31.333453101579437, 120.81105524060695 31.33301679369015, 120.81096951543088 31.33299528640339, 120.81082093663701 31.333431593393357, 120.81090666361172 31.333453101579437)))",e36daf08fea02b62b72bb4169be7c0f8,高端制造与国际贸易区,工业园,兴浦路211号,兴浦路211号6幢,工业园区高端制造与国际贸易区,"3205710017875","4.83",120.810938089,31.3332241943,"",0,0,0,0,0,"320591410","320591","320591410001","0",1,,,,,,"3","34,35",
155828,"MULTIPOLYGON (((120.37684558100011 31.048906345000034, 120.37683719300003 31.048860727000033, 120.37676529900011 31.048892220000027, 120.37677393000001 31.04893825100004, 120.37684558100011 31.048906345000034)))",e36e2be0ecd44d95afc1d88d06cde2f6,东山镇,吴中区,东山镇双湾村槎湾(12)槎湾329号,东山镇双湾村槎湾(12)槎湾329号辅房3,双湾村委会,"3205060314005","3",120.376805436,31.0488994053,"",0,0,0,0,0,"320506113","320506","320506113203",,1,,,,,,"1","",
911698,"MULTIPOLYGON (((120.76850724000008 31.866461110000046, 120.76849426000001 31.86659497000005, 120.76858109000011 31.86659874000003, 120.76858563000008 31.86652255000007, 120.76858908000008 31.866464660000076, 120.76850724000008 31.866461110000046)))",E3739197F8564FD18CCBC802F9FC19F6,常阴沙现代农业示范园区管理委员会,张家港,常阴沙现代农业示范园区常南社区二组28号,常阴沙现代农业示范园区常南社区二组28号,常南社区,"3205820346198","7.8",120.768542866,31.8665305306,"",0,0,0,0,0,"320582400","320582","320582400005",,1,,,,,,"1","",
804800,"MULTIPOLYGON (((120.5934606463918 31.326615024563807, 120.59349063518471 31.326542787419783, 120.59349872638518 31.326545262354045, 120.5935094220223 31.3265199779147, 120.59346391272948 31.32650579290805, 120.59345950874945 31.326516107232635, 120.59342870517071 31.326506416138272, 120.59343298324563 31.32649639409334, 120.59339640601934 31.326485309049815, 120.59339228532576 31.326494961473372, 120.5933621481447 31.326485480820338, 120.59336650266198 31.326475276213102, 120.59332954682122 31.32646387280954, 120.59332527324284 31.326473882263883, 120.59329501195532 31.326464362940044, 120.59329928283569 31.32645435888162, 120.59322897833476 31.32643239294066, 120.59322476321233 31.326442264798743, 120.59319420424924 31.326432652844687, 120.59319846793505 31.326422664074755, 120.59316150310099 31.32641075255424, 120.59315713329511 31.326420993134377, 120.59312680635708 31.326411454025447, 120.5931309918019 31.326401648717194, 120.5930948435522 31.326389834323436, 120.59309049083356 31.326400031736114, 120.59306060636197 31.326390631122763, 120.59306476572647 31.326380886069103, 120.59301979242957 31.32636725144755, 120.59301004108056 31.32639095038212, 120.59301723026101 31.326393216673637, 120.59298599860506 31.3264662173421, 120.5934606463918 31.326615024563807)))",e37a2a39e59ae5a6cb0c9fd39e915333,虎丘街道,姑苏区,清塘新村24幢,清塘新村24幢,清塘社区居委会,"3205080078103","19",120.593243292,31.3264935209,"",0,0,0,0,0,"320508017","320508","320508017004",,0,,,,,,"1","",
476402,"MULTIPOLYGON (((120.47957828000006 30.979776210000068, 120.47949452000012 30.97974576000007, 120.47946751000006 30.97982004000005, 120.47955127000012 30.979850500000055, 120.47957828000006 30.979776210000068)))",e37d6d6728a84cd2e36a32403e33c9a1,七都镇,吴江区,七都镇开明村12组月字圩142号,七都镇开明村12组月字圩142号,联漾村委会,"3205090166671","3",120.479522896,30.979798128,"",0,0,0,0,0,"320509104","320509","320509104222",,1,,,,,,"1","",
1152824,"MULTIPOLYGON (((120.84360740400007 31.427292135000073, 120.84358841900007 31.427200828000025, 120.84356046800008 31.42706639800008, 120.84343438400003 31.42709261400006, 120.84346233500003 31.427227044000063, 120.84330499700002 31.427259758000048, 120.84327808600005 31.427130331000058, 120.8431769880001 31.427151352000067, 120.84320389800007 31.427280778000068, 120.84322288200008 31.42737208500006, 120.84360740400007 31.427292135000073)))",da95579a44e7f51333c8dae24c0b989b,巴城镇,昆山市,巴城镇东湖社区4组2号,巴城镇东湖社区4组2号,东阳澄湖村委会,"3205830063373","3",120.843400092,31.4272338493,"",0,0,0,0,0,"320583102","320583","320583102202",,1,,,,,,"3","35",
1176904,"MULTIPOLYGON (((121.01527988200007 31.57095774800007, 121.01535906600009 31.57105992100003, 121.01542548600003 31.571008445000075, 121.01534630200001 31.57090627200006, 121.01527988200007 31.57095774800007)))",E389BF35070245BBA3197B19163A8E1B,沙溪镇,太仓市,沙溪镇直塘泰西村三十四组8号,沙溪镇直塘泰西村三十四组8号辅房2,泰西村委会,"3205850248729","4",121.015352684,31.5709830965,"",0,0,0,0,0,"320585110","320585","320585110221",,1,,,,,,"1","",
3702652,"MULTIPOLYGON (((121.03747138428963 31.45259618736119, 121.0374586436269 31.45259618736119, 121.0374586436269 31.452583446698466, 121.03747138428963 31.452583446698466, 121.03747138428963 31.45259618736119)))",e39a9dc3363a200cff2cbcff9de0b1cb,双凤镇,太仓市,双凤镇新湖新闯村二十四组4号3室,双凤镇新湖新闯村二十四组4号3室,新闯村委会,"3205177321655845167",,121.03747138428963,31.45259618736119,"2",0,0,1,0,0,"320585109","320585","320585109221","0",,,,3,,,"1","",
