"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-09 18:31:37.000,"320581000281518",江苏琴达纺织有限公司,江苏省,"320000",苏州市,"320500",常熟市,"320581",常熟市大义工业园区二区,C,"17","175","1752","0",,"20250222","1",制造业,纺织业,化纤织造及印染精加工,化纤织物染整精加工,"320581007",常福街道,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:37.000,"320581600787148",常熟市海虞镇名雪豹制衣厂,江苏省,"320000",苏州市,"320500",常熟市,"320581",常熟市海虞镇工业园一区,C,"18","183",,"0",,"20250228","0",制造业,纺织服装、服饰业,服饰制造,,"320581102",海虞镇（产业园）,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:37.000,"320581601466269",常熟市古里镇泽雨织造厂,江苏省,"320000",苏州市,"320500",常熟市,"320581",常熟市高新技术开发区东能光伏湖漕西路55号南三楼,C,"17","176","1761","0",,"20250321","0",制造业,纺织业,针织或钩针编织物及其制品制造,针织或钩针编织物织造,"320581003",高新区（东南街道）,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:37.000,"320581601513930",常熟市梅李镇赵文俊经编厂,江苏省,"320000",苏州市,"320500",常熟市,"320581",常熟市梅李镇支王线,C,"17","175","1751","0",,"20250126","0",制造业,纺织业,化纤织造及印染精加工,化纤织造加工,"320581101",梅李镇,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:40.000,"91320507MA263H8W1D",苏州安克弗精密机械有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路88号咏春科技园14号楼,C,"33","339","3399","1",2026-01-26 15:01:09.000,"20260126","0",制造业,金属制品业,铸造及其他金属制品制造,其他未列明金属制品制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇太东路2992号2幢,"120.529607","31.444713","5a083dbe30e84b3da433efc2e2c491ad",D,"1",,,"3205000013364605"
2026-03-09 18:31:37.000,"320581758454225A",常熟市杨阳化工设备有限公司,江苏省,"320000",苏州市,"320500",常熟市,"320581",常熟市辛庄镇（杨园）学甸村,C,"33","337","3371","0",,"20250221","0",制造业,金属制品业,搪瓷制品制造,生产专用搪瓷制品制造,"320581120",辛庄镇,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:37.000,"320581765899214",常熟众达机械工程有限公司,江苏省,"320000",苏州市,"320500",常熟市,"320581",江苏省常熟经济开发区出口加工区汪湾北路8号,C,"34","343","3432","0",,"20250108","1",制造业,通用设备制造业,物料搬运设备制造,生产专用起重机制造,"320581001",经开区（碧溪街道）,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:37.000,"320582600011463",张家港市塘桥金润毛条厂,江苏省,"320000",苏州市,"320500",张家港市,"320582",张家港市凤凰镇双龙路286号,C,"17","178","1789","0",,"20250213","0",制造业,纺织业,产业用纺织制成品制造,其他产业用纺织制成品制造,"320582103",凤凰镇,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:37.000,"320582600138423",张家港市凤凰镇太阳泉超纯水厂,江苏省,"320000",苏州市,"320500",张家港市,"320582",江苏省苏州市张家港市凤凰镇西张双龙路,C,"15","152","1522","0",,"20250208","0",制造业,酒、饮料和精制茶制造业,饮料制造,瓶（罐）装饮用水制造,"320582103",凤凰镇,E,,,,,,,,,,,,,"2",,,
2026-03-09 18:31:48.000,"91321291MA1UWXRR3T",江苏晨泰医药科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路88号咏春科技园1幢一层,C,"27","272",,"1",2026-01-28 13:59:01.000,"20260128","0",制造业,医药制造业,化学药品制剂制造,,"320507103",黄埭镇,A,,,,,,,,江苏省苏州市相城区黄埭镇太东路潘阳工业园1号,"120.533652","31.433546",cf83fd02f3724a56a8cab666b86d8add,,"1",,,"3205000013368413"
2026-03-09 18:31:39.000,"913205070694547726",苏州邦冠自动化设备有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路88号咏春科技园4号楼,C,"39","391","3919","1",2026-01-26 14:58:05.000,"20260126","0",制造业,计算机、通信和其他电子设备制造业,计算机制造,其他计算机制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路潘阳工业园3号,"120.533652","31.433546","30bfcec6156040c6a235a5b1723d539c",D,"1",,,"3205000013368529"
2026-03-09 18:31:40.000,"91320507MA25XYGD6F",鼎溙和（苏州）精密科技有限公司,江苏省,"320000",苏州市,"320500",相城区,"320507",苏州市相城区黄埭镇春旺路88号咏春科技园5幢一、二层,C,"33","338","3389","1",2026-01-28 15:31:00.000,"20260128","1",制造业,金属制品业,金属制日用品制造,其他金属制日用品制造,"320507103",黄埭镇,E,,,,,,,,江苏省苏州市相城区黄埭镇春旺路88号15幢,"120.533388","31.429223","6ca19d0667af40eaa7ff2bec8e67a2c5",D,"1",,,"3205000013368555"
