"时间戳","市","企业历史id","区、县","备注","地址名称","省","街道、乡镇","是否为主要","主键id","详细地址","创建人","修改人","创建时间","修改时间","排序","删除标识","统一社会信用代码","经度","纬度"
2026-03-11 20:03:07.000,"320500","7a74e4fcb366425580d02528ce2185fb","320585","8ae4ca8e7f4a2a43017f5387bdd36f0b",强盛(苏州)金属制品有限公司,,"320585500","1","00089f1e52c74dd48ee1e1f3d56fa579",北环路318号,admin,admin,2022-03-04,2026-01-01,1,"0","91320585720685474D","121.174246","31.605916"
2026-03-11 20:03:07.000,"320500",c964abb062c44d8b87def0355244d837,"320585",ff808081863034d5018633947eae4ae3,太仓市辉冠精密机械有限公司,"320000","320585498","1","0008ad1fd6b84a849a7fa7d41fbad45e",苏州市太仓市娄东街道常胜北路70号,admin,admin,2023-02-14,2023-02-14,1,"0","91320585MA22FANX8J","121.130798","31.480428"
2026-03-11 20:03:07.000,"320500","77ae03c9628547a88ea315f99cd95769","320509","77b4a33107894a799925a9afd590ddae",苏州久和新材料科技有限公司,"","320509105","1","0008d5c2f7df45d483a344851aa1166c",苏州市吴江区盛泽镇南环路南侧（茅塔村）茅塔路6号,admin,admin,2024-01-22,2024-01-22,1,"0","91320509MA26GD4475","120.650000","30.890000"
2026-03-11 20:03:07.000,"320500",d03cb3a9fefc4890bebaf80b933c10c7,"320509","9c7510c3043441d085dd784fca3b23fb",车间,"320000","320509110","1","0008de9640184ec5a27ba7be92eae625",金长路949号,admin,admin,2025-01-07,2025-01-07,1,"0","91320509323620095C","120.789198","31.087235"
2026-03-11 20:03:07.000,"320500","6455cafaf0864728b2915ea560c3ff92","320506","4wuqkl4e1s800000000",吴中区甪直镇凌港路88号,,"320506100","1","0008f454043844dfa45957b96ec4e41f",吴中区甪直镇凌港路88号,admin,admin,2022-02-21,2022-02-21,1,"0","91320500761538729F","120.813417","31.271310"
2026-03-11 20:03:07.000,"320500","1e2a299c557746339cca92850e86369c","320507",ff8080818720d7c50187305a588d43ee,贝杰特精密机械有限公司,"320000","320507002","1","00090404abf54a56a1e9f462151eb078",兴太路266号-3号,admin,admin,2023-03-30,2023-03-30,1,"0","91320508086946293J","120.697057","31.438711"
2026-03-11 20:03:07.000,"320500",ae696ae0a48f4bb4adbbb652bd8bf1a4,"320507","8k6dzqqvkoc00000000",苏州万木包装材料有限公司,,"320507004","1","00092b133782405fb64661fae452b10b",江苏省苏州市相城区北桥街道吴家角路3号,admin,admin,2025-12-15,2025-12-15,1,"0","91320507MAC3UQGQ06","120.607164","31.539762"
2026-03-11 20:03:07.000,"320500","8a9875b50c7c44a4b72ca4615e07c17c","320509","8ae4ca887c7a7b96017c81d237ae1522",车间,"320000","320509400","1","00093aad57e040699ba5f0fe473d9076",同里镇屯南村,admin,admin,2022-03-10,2022-03-10,1,"0","91320509MA1W8QF24C","120.787371","31.141901"
2026-03-11 20:03:07.000,"320500","56c77a5197184203a479bae0cd0a2049","320571","8aae07328d0b1c23018d0fee062d60fa",苏州简乐明惠机械设备有限公司,"","320571490","1","000973b4b1574f98aebbbbe2d1986d49",澄浦路15号,admin,admin,2024-01-16,2024-01-16,1,"0","91320594MA1NTHP624","120.846475","31.330452"
2026-03-11 20:03:07.000,"320500","9d4d4d0d368149c28e18c18034b01567","320583","8aae0732944922310194498b440c2919",昆山无双金属科技,"320000","320583108","1","00097ed898dd4e0da641b538fe7e35ce",宏洋路225号6号厂房,admin,admin,2025-01-09,2025-01-09,1,"0","91320583MA1T8QXR07","120.597000","31.174000"
2026-03-11 20:03:07.000,"320500","637cc63dcd2e4708977958a0e09735f1","320585","8ae4ca8e7fb10520017fb5a5d90a40e0",车间,"320000","320585102","1","00098fb9cfea48fca21558a8fe97f551",新塘,admin,admin,2022-03-23,2022-03-23,1,"0","913205857455501892","121.238966","31.513070"
2026-03-11 20:03:07.000,"320500","1383416cb9564054850295dcdbc39668","320509","8ae4ca9285a02ed60185ba53d0084c8a",吴江经济技术开发区同里镇同心村（8）组,"","320509400","1","0009cbdb65d24cb48540a3595f75958f",同里镇同心村（8）组,admin,admin,2023-01-16,2023-01-16,1,"0","91320509MA1XE5W10G","120.693141","31.163277"
2026-03-11 20:03:07.000,"320500","4202e947f9344b0bad773ef835053a28","320583","8aae07369449239b01944e8b5aec6d32",昆山振世达金属物资有限公司,"","320583400","1","000a13e003274e02829965dde77e2ac6",昆山开发区太湖支二路7号4号房,admin,admin,2025-01-10,2025-01-10,1,"0","91320583MA27R5LYXJ","121.029344","31.362960"
2026-03-11 20:03:07.000,"320500",e6a0f58c3af646a79235f5befd08dbb8,"320582","8ae4ca8686821b680186919db65c6364",张家港市凤凰镇金彩色卡厂,"320000","320582105","1","000a568bb1284473880c2638b8292f32",西参村,admin,admin,2023-02-27,2023-02-27,1,"0","92320582MA1NNGEU34","120.605046","31.792362"
2026-03-11 20:03:07.000,"320500",bb7ea80ecda64e8ca630286e4109f534,"320581","8aae07328f808fe0018f90e09d701843",常熟尚豪隔断工程有限公司,"","320581002","1","000a7d1581aa49d190a1175ba8891b54",苏州路54号,admin,admin,2024-05-20,2024-05-20,1,"0","91320581MA1UY2P73W","120.697871","31.698154"
2026-03-11 20:03:07.000,"320500","40d55bdab95144a187a77d2b8a138376","320509","526abf0744764b1697a895876250fb49",苏州华优纺织股份有限公司,"","320509105","0","000a873a8be1434fb4ccd748733d58fe",南麻永平村7组,admin,admin,2025-02-18,2025-02-18,3,"0","91320500MA1WT5M692","120.561276","30.882617"
